filename,numLine,numMutant,killed,survived,LogisticRegression_accuracy_score,LogisticRegression_f1_score,LogisticRegression_predict_killed,LogisticRegression_predict_survived,LogisticRegression_match_killed,LogisticRegression_match_survived,RandomForestClassifier_accuracy_score,RandomForestClassifier_f1_score,RandomForestClassifier_predict_killed,RandomForestClassifier_predict_survived,RandomForestClassifier_match_killed,RandomForestClassifier_match_survived
crypt.csv,184,4665,2489,2176,0.6570203644158628,0.6163069544364508,0.602357984994641,0.39764201500535906,0.7574468085106383,0.5550755939524838,0.744908896034298,0.7424242424242425,0.5058949624866024,0.4941050375133976,0.7489361702127659,0.7408207343412527
binhex.csv,680,49428,36819,12609,0.7489378919684402,0.06761833208114199,0.9814889743071009,0.018511025692899048,0.987444309437019,0.03630496167809601,0.7746307910176007,0.4045964724746125,0.8722435767752377,0.1277564232247623,0.9316862427433509,0.3053650665590964
getpass.csv,186,6176,4543,1633,0.8090614886731392,0.5261044176706827,0.8470873786407767,0.1529126213592233,0.9374325782092773,0.42394822006472493,0.8729773462783171,0.7438825448613376,0.7540453074433657,0.2459546925566343,0.918015102481122,0.7378640776699029
filecmp.csv,306,6825,4788,2037,0.7772893772893773,0.5502958579881657,0.8051282051282052,0.19487179487179487,0.9162303664921466,0.45365853658536587,0.8249084249084249,0.6306027820710973,0.8263736263736263,0.17362637362637362,0.9654450261780104,0.4975609756097561
quopri.csv,243,37216,31463,5753,0.8737238044062332,0.3935483870967742,0.9457281031703385,0.05427189682966147,0.9842807240393776,0.2661431064572426,0.9130843632455669,0.6851581508515815,0.8778882321332617,0.12211176786673832,0.9674499841219435,0.6143106457242583
pty.csv,171,2447,882,1565,0.8061224489795918,0.8522550544323484,0.32040816326530613,0.6795918367346939,0.6722222222222223,0.8838709677419355,0.8040816326530612,0.853211009174312,0.2979591836734694,0.7020408163265306,0.6388888888888888,0.9
cgitb.csv,320,44098,12295,31803,0.8063492063492064,0.8720023980815347,0.20374149659863947,0.7962585034013605,0.5178071228491397,0.9204239835469071,0.9031746031746032,0.9322652284263959,0.28718820861678007,0.7128117913832199,0.8359343737494997,0.9297579496915045
plistlib.csv,994,201879,70304,131575,0.6779522488607094,0.7883867397920159,0.1336189815732118,0.8663810184267882,0.2265276779295471,0.9152119700748129,0.7976273033485238,0.8517947508751564,0.28999900931246286,0.7100009906875372,0.6271746944644141,0.8872137837225119
pipes.csv,248,45681,36858,8823,0.8068293750684032,0.22485726833552924,0.9481230163073219,0.051876983692678125,0.9702754295064085,0.14198557958957295,0.8658202911240013,0.6151914626490897,0.8486374083397177,0.15136259166028238,0.9450504499590946,0.5435385468663338
shlex.csv,341,49377,36228,13149,0.7849331713244229,0.4633653360282971,0.8611786148238153,0.1388213851761847,0.9377143641103032,0.3544646308465404,0.836269744835966,0.6485546620299935,0.7960712839206157,0.20392871607938437,0.9283852380299081,0.5767298028604562
keyword.csv,97,8046,245,7801,0.977639751552795,0.9886934673366834,0.0,1.0,0.0,1.0,0.977639751552795,0.9886934673366834,0.0,1.0,0.0,1.0
